State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Households_with_Internet,Male_Literate,Female_Literate,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,Housholds_with_Electric_Lighting,LPG_or_PNG_Households,Rural_Households,Urban_Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Having_latrine_facility_within_the_premises_Total_Households,Household_size_1_person_Households,Household_size_2_persons_Households,Household_size_3_persons_Households,Household_size_4_persons_Households,Household_size_5_persons_Households,Household_size_6_8_persons_Households,Household_size_9_persons_and_above_Households,sex_ratio,literacy_rate
Haryana,Jind,29.45149821958457,76.29598575667653,77,1334152,713006,621146,832758,5263,502049,330709,1276669,23016,889,29103,172,2594,56,1653,222462,78386,278335,89665,136892,185626,151682,154773,107994,64599,14277,1235467,784085,335704,213478,885,146428,4228,13046,23783,55033,55240,73299,19953,871,62
Haryana,Kaithal,29.96068539094649,76.37698930041155,73,1074304,571003,503301,646529,3724,385782,260747,974520,8232,1769,87558,265,351,70,1539,187349,62668,231091,75696,119345,158239,124682,117753,82297,51043,9111,1032339,630194,265813,176320,1977,126896,3676,11442,19624,45618,46262,59344,14255,881,60
Haryana,Karnal,29.703200647249204,76.87488025889972,74,1505324,797712,707612,978013,11163,564516,413497,1341002,31650,2049,126207,532,1516,49,2319,267223,143133,292682,135920,155839,231354,188040,183590,124790,101387,19186,1433406,884972,380409,234684,5259,215989,5761,17461,29082,66304,66391,81876,17676,887,65
Haryana,Kurukshetra,30.05652659846548,76.78774680306903,72,964655,510976,453679,646893,7356,370828,276065,805175,15970,1943,140395,214,375,106,477,171908,90150,203553,88268,94530,145392,118107,120790,81964,71007,10999,909427,552034,250830,160216,1575,136321,3540,11148,18809,43935,41371,48824,11764,888,67
Haryana,Mahendragarh,28.1352161458333,76.14018072916659,84,922088,486665,435423,630255,2624,380440,249815,913251,5660,301,1737,75,644,15,405,135455,45359,223726,44216,94273,135849,126291,132765,94245,60296,10353,899674,530000,229392,161258,1438,74605,2971,8947,17146,39036,35309,49530,15586,895,68
Haryana,Panchkula,30.700897142857134,76.97173238095236,69,561293,299679,261614,405318,18615,229862,175456,490702,23451,2583,40951,1008,1626,90,882,103455,69687,70895,93656,45607,73584,60177,69163,48306,83256,8466,507781,309078,157076,93606,1533,77967,4053,9104,14305,28779,22528,25585,5882,873,72
Haryana,Panipat,29.34352134146342,76.92895914634147,75,1205437,646857,558580,786599,10024,464136,322463,1083936,86622,2261,25064,289,4647,99,2519,209965,121846,173502,153804,118873,170565,143466,141473,91756,75774,10977,1049096,739075,298764,167244,354,176766,4783,13209,23156,50265,50152,65067,13756,864,65
Haryana,Rewari,28.19164714828897,76.55956007604564,85,900332,474335,425997,636947,5121,375453,261494,889133,5713,701,1804,202,1525,12,1242,152651,62667,199449,69305,81280,120860,122617,139646,95807,65143,9820,842000,518747,230704,150557,324,100436,3879,10224,18914,42148,36171,45917,11875,898,71
Haryana,Rohtak,28.892517647058817,76.53123235294117,82,1061204,568479,492725,747582,8482,436025,311557,1043887,8185,732,3916,200,3491,24,769,193120,94633,175203,131739,117097,150903,140782,168499,109596,100346,21134,1057152,605741,269354,185685,424,147990,4261,11498,21602,50316,46126,55628,13502,867,70
Haryana,Sirsa,29.63583446327684,74.90970480225988,79,1295189,682582,612607,782897,6287,456968,325929,940255,9524,2186,338962,370,2256,624,1012,215527,70538,245476,93316,141766,201349,153263,134559,83373,61620,16698,1204981,750228,334344,208185,2432,215371,4202,13126,23790,57070,54200,70339,17490,897,60
