State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Households_with_Internet,Male_Literate,Female_Literate,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,Housholds_with_Electric_Lighting,LPG_or_PNG_Households,Rural_Households,Urban_Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Having_latrine_facility_within_the_premises_Total_Households,Household_size_1_person_Households,Household_size_2_persons_Households,Household_size_3_persons_Households,Household_size_4_persons_Households,Household_size_5_persons_Households,Household_size_6_8_persons_Households,Household_size_9_persons_and_above_Households,sex_ratio,literacy_rate
Karnataka,Dharwad,15.343831376975173,75.13831264108359,562,1847023,937206,909817,1301664,15013,711776,589888,1390020,386834,28747,1486,715,29037,2748,7436,347962,140584,199707,283397,252596,383041,185530,227113,143453,137768,34302,1792359,1017935,505688,322577,823,212091,12363,32050,52869,92142,78024,79875,24731,971,70
Karnataka,Gadag,15.507128256880746,75.64861302752298,561,1064570,537147,527423,700177,3373,397178,302999,907750,143665,3432,231,79,5993,74,3346,198064,31959,180066,111906,121615,244640,112703,105150,63816,42053,12822,1008937,601578,279069,183409,514,45668,8697,18430,27970,48139,45876,51064,15426,982,66
Karnataka,Gulbarga,17.070459515951594,76.87503850385033,579,2566326,1301755,1264571,1427368,9752,828359,599009,2011014,513125,8344,826,9589,4865,330,18233,404767,77334,400704,199303,177860,579057,270622,290570,153746,104256,20492,2480307,1570719,604665,388935,2007,118792,13541,31790,43936,77749,96061,158370,43798,971,56
Karnataka,Hassan,12.945098749999998,76.11049549999997,574,1776421,883667,892754,1225256,4851,668836,556420,1630814,120011,15611,289,623,5820,3,3250,400702,90599,496103,132878,182255,354480,232531,292369,147837,103152,27774,1741625,877340,522039,375918,1124,171212,19258,43577,74226,139331,76855,67234,8811,1010,69
Karnataka,Haveri,14.737582809224318,75.3961230607966,564,1597668,819128,778540,1085443,2456,603793,481650,1281878,297927,2406,419,68,9834,702,4434,295937,41517,315076,98488,240925,430529,201965,158442,84357,55310,16830,1571852,904453,426094,266586,535,121420,10102,25544,42726,80865,71675,75502,19042,950,68
Karnataka,Kodagu,12.39684468085106,75.79336595744688,576,554519,274608,279911,412877,3308,215302,197575,448986,87274,17130,139,126,250,220,394,113931,40958,181182,31792,51287,111562,75291,86232,54939,43225,8251,522139,276918,163360,113919,322,112626,8568,19579,25415,40686,23779,17490,2786,1019,74
Karnataka,Kolar,13.312799881235172,78.01376947743476,581,1536401,776396,760005,1016219,5051,564110,452109,1305431,199873,26722,253,150,2494,92,1386,309494,72407,326567,151042,138015,289841,228422,225498,107929,71422,17961,1478177,841499,419380,274240,1282,141675,12543,29989,46381,88678,65473,72881,15045,979,66
Karnataka,Koppal,15.651253271028034,76.1617048598131,560,1389920,699926,689994,809085,2135,468785,340300,1218024,161770,4081,296,85,2898,461,2305,223166,31673,272968,64681,222140,357098,127605,113028,72243,43967,10431,1418694,855430,330393,202984,1113,47931,8663,19194,28367,49603,53425,75020,25124,986,58
Karnataka,Mandya,12.574901806239744,76.81570098522172,573,1805769,905085,900684,1149649,3367,638668,510981,1712695,77801,8506,322,299,3607,109,2430,391033,80452,458867,103435,145178,309476,226552,308624,157839,102838,19987,1775228,902307,527236,375100,1126,159818,18494,41173,72440,131996,77223,72273,12979,995,64
Karnataka,Mysore,12.248100259403367,76.52881802853437,577,3001127,1511600,1489527,1962180,28397,1063766,898414,2631985,290549,39361,1255,16194,14419,493,6871,640868,273706,540596,380386,207091,537686,404565,452412,222230,212541,26834,2810596,1580116,865220,553705,2086,378503,27738,67567,118632,215723,122853,113521,22388,985,65
Karnataka,Raichur,16.050795353982295,76.87368606194688,559,1928812,964511,964301,979769,5200,577213,402556,1634062,272022,10394,538,2265,4156,29,5346,314547,51443,330446,125402,147743,385673,163709,153346,82082,50463,14622,1780764,1196670,465173,265810,1159,74326,11501,27037,39557,67172,71533,109289,33248,1000,51
Karnataka,Shimoga,14.063845885634592,75.17882078103197,568,1752753,877415,875338,1263016,8791,674938,588078,1479424,234664,26521,400,120,9234,367,2023,363835,128087,352444,201662,191641,385978,292481,251095,132138,111753,18036,1738344,913150,513297,325542,764,286129,14967,37377,65181,124966,79412,67079,13157,998,72
Karnataka,Tumkur,13.592467760074973,77.02297966260545,571,2678980,1350594,1328386,1813391,7971,1006024,807367,2413812,245923,9130,477,187,5067,161,4223,562769,116539,685443,204799,270373,500593,386998,423738,213588,143735,30687,2655986,1351461,760936,564196,2387,206821,32503,67398,109455,183042,114785,110970,18241,984,68
Karnataka,Udupi,13.450404228534568,74.72009990316337,569,1177361,562131,615230,926429,9070,465704,460725,1009179,96740,65838,232,161,4534,155,522,224814,83810,269817,115572,142493,286193,176260,178094,109663,107279,18444,1222454,559565,340903,276234,659,214808,11115,23243,34943,58352,42808,53755,22097,1094,79
Kerala,Alappuzha,9.542602965599087,76.38010796263319,598,2127789,1013142,1114647,1852797,28842,890552,962245,1460447,224545,435056,268,146,74,311,6942,507913,274392,331419,392117,133039,334339,418953,573306,274789,198858,58096,2155371,891512,648522,585591,2164,490935,20266,60721,102594,168549,97172,70844,8129,1100,87
Kerala,Ernakulam,10.004879301987431,76.26957729035381,595,3282388,1619557,1662831,2855676,88737,1425723,1429953,1509557,514397,1248137,860,614,1176,1083,6564,771287,499291,369694,804997,212263,446380,554817,702511,389793,429880,113133,3117092,1396968,1024720,858010,2690,774743,23843,85162,149988,270983,147414,103994,10353,1027,87
Kerala,Idukki,9.80480963855423,77.04586641566264,596,1108974,552808,556166,923010,8250,471881,451129,541854,82206,481507,100,189,44,384,2690,244844,54626,391610,20823,79149,166604,209398,261237,136428,86136,19252,1084793,494456,352163,261471,884,246878,10608,32718,47205,90960,53993,38760,2732,1006,83
Kerala,Kannur,11.941523076923056,75.35209891725934,589,2523003,1181446,1341557,2138434,32653,1012956,1125478,1509592,742483,262526,424,1118,193,722,5945,511167,115356,306288,566191,204713,487016,491844,540383,308670,217203,40277,2569458,1187177,741984,588081,5761,530436,19717,54436,87111,149708,93855,101710,36672,1136,85
Kerala,Kasaragod,12.33310309912974,75.07768497134369,588,1307375,628613,678762,1037492,10378,516476,521016,729987,486913,87454,151,362,130,152,2226,237670,74092,251641,166164,115476,268084,230416,238900,122657,76192,16585,1281215,688763,369883,246975,1754,245747,8292,22720,39574,68195,49989,58340,20652,1080,79
Kerala,Kollam,8.929388820570157,76.6360775852431,600,2635375,1246968,1388407,2240273,31542,1074345,1165928,1697635,508500,421598,208,272,63,619,6480,630767,263148,523715,401415,172247,406592,562529,595191,307950,233402,64052,2573249,1177359,795245,660965,1806,626758,26711,76792,132475,221052,112992,83769,9485,1113,85
Kerala,Kottayam,9.643701174068417,76.46059673302705,597,1974551,968289,1006262,1749798,37849,861592,888206,983598,126499,858608,204,358,83,565,4636,464039,187213,481967,196194,117681,271496,373998,475724,280720,221350,52339,1927701,811653,596302,565048,1548,464124,15538,54557,84509,150425,95420,74003,6001,1039,89
Kerala,Kozhikode,11.392924270557026,75.71158720159153,591,3086293,1470942,1615351,2615443,36791,1266939,1348504,1734958,1211131,131516,297,235,601,588,6967,641660,145558,323793,666543,247996,564392,647221,630818,351267,250117,53166,3080497,1487644,909581,686109,2959,668842,20408,63700,114136,198560,131865,122779,32377,1098,85
Kerala,Malappuram,10.97329875666072,75.93910775606876,592,4112920,1960328,2152592,3311315,27909,1597404,1713911,1135259,2888849,81556,205,179,68,579,6225,730119,139994,634543,522586,415601,770417,814285,933793,392867,203779,41344,4194431,2406005,1041361,662311,3243,754074,19178,49957,92845,169215,163389,200802,79209,1098,81
Kerala,Palakkad,10.784926903553291,76.49980490693744,593,2809934,1359478,1450456,2239492,27162,1122600,1116892,1875980,812936,114397,220,238,78,400,5685,587583,178386,665899,228442,249198,492864,608176,572412,232109,180540,36370,2811603,1395222,802611,608966,3135,564142,27077,62135,98388,174911,121324,112468,31984,1067,80
Kerala,Thiruvananthapuram,8.537101759082221,76.88711502868073,601,3301427,1581678,1719749,2785408,71621,1354857,1430551,2194057,452915,630573,404,301,76,1082,22019,783872,343590,559293,609824,206328,460690,642470,682156,389161,381782,76129,3147758,1488441,989238,820024,3724,780821,41529,99737,156362,271600,140853,103948,14745,1087,84
Kerala,Thrissur,10.458932647907687,76.12321940836945,594,3121200,1480763,1640437,2678548,56148,1282261,1396287,1823442,532839,757484,259,278,62,585,6251,721625,338350,336748,715119,222627,445696,524387,821831,362657,338600,71535,3094998,1394214,931841,792182,2963,727823,28012,86762,138655,228326,132323,107091,22661,1108,86
Kerala,Wayanad,11.715277464788736,76.07587007042254,590,817420,401684,415736,645585,4712,328136,317449,404460,234185,174453,61,312,1797,286,1866,149864,23028,266183,11805,65326,144896,137227,184266,87042,51111,8786,809865,412806,246590,157326,698,170170,6132,17127,29933,57494,37678,32026,5013,1035,79
Madhya Pradesh,Anuppur,23.18184220430107,81.86560000000007,461,749237,379114,370123,436595,1290,254120,182475,686524,21473,2132,606,86,1653,35434,1329,81338,23388,147388,60325,113208,115716,93450,58536,42743,31646,3066,730098,444954,193520,109813,950,29828,10691,22868,23690,34331,32761,39257,5221,976,58
Madhya Pradesh,Ashoknagar,24.63098846153845,77.82974493927134,459,845071,443837,401234,469109,619,290304,178805,778214,40707,635,8009,1352,15094,27,1033,84720,15886,169606,37135,148647,117053,62802,51499,29551,22791,3466,795334,535410,194772,114131,758,26227,7008,19576,19389,32336,34220,49792,8383,904,56
Madhya Pradesh,Balaghat,21.80020720640569,80.42170053380796,457,1701698,842178,859520,1147623,1712,626468,521155,1519384,38542,5295,1050,72162,4778,58064,2423,277927,27283,400074,70793,290699,312640,235251,168635,126308,74213,7414,1708575,969773,453605,276799,1521,73522,20627,45725,54919,91010,84346,89463,8220,1021,67
Madhya Pradesh,Barwani,21.702135714285724,74.91004719710673,441,1385881,699340,686541,549926,1158,313642,236284,1318869,58222,2967,2361,416,2289,263,494,181139,30115,250358,48912,157337,137116,74067,59100,42649,30754,2581,1328638,923665,302833,158594,789,45979,5580,17742,20963,36524,45230,89149,27873,982,40
Madhya Pradesh,Betul,21.964626315789477,77.7873428189117,447,1575362,799236,776126,939769,2109,529783,409986,1505745,37590,3271,1078,9651,3759,13048,1220,230974,45270,318945,87704,239114,232532,176325,140402,105696,82761,5876,1585804,938819,392728,242592,1223,81190,11870,30101,37702,70160,70169,92643,14429,971,60
Madhya Pradesh,Bhind,26.35951126187245,78.7618324287653,420,1703005,926843,776162,1094917,1166,676513,418404,1595400,66776,973,4047,12215,19950,73,3571,107819,32268,271211,88385,202629,261162,199044,140743,96011,50222,8059,1346343,1040736,399676,258588,4005,68734,9939,22269,25527,46066,55017,101448,37990,837,64
Madhya Pradesh,Bhopal,23.480726143790854,77.39246623093679,444,2371061,1236130,1134931,1660690,40788,920314,740376,1755861,525434,23432,10789,21688,25950,335,7572,452912,281442,118893,581826,229082,303171,287198,211371,178165,266618,30845,1969031,1405814,625594,330291,9362,352351,17604,45793,67348,115462,99298,120466,21779,918,70
Madhya Pradesh,Burhanpur,21.364567254408065,76.24460478589425,467,757847,388504,369343,408679,986,233073,175606,552526,180840,1199,1074,19883,1884,99,342,112420,40478,115979,62861,107547,119468,69765,57058,42618,28237,4761,747416,469838,181605,106034,370,50613,4958,12399,15902,27594,28941,43386,10974,951,54
Madhya Pradesh,Chhatarpur,24.813637376460004,79.56449299191374,425,1762375,936121,826254,943033,1880,572010,371023,1676918,70351,1980,968,250,10409,102,1397,176056,36506,375869,95048,270951,236054,160310,112961,77787,59704,7837,1695872,1112636,394060,252417,3262,56851,17905,40360,38067,60050,71611,118698,24194,883,54
Madhya Pradesh,Chhindwara,22.227966971713823,78.76413136439254,455,2090922,1064468,1026454,1294198,3588,731294,562904,1923920,100692,4893,2258,24471,7830,25771,1087,344875,73284,413142,140802,284113,336391,225747,215098,167946,112383,12141,2017265,1232263,535316,321977,1366,111901,18466,40823,50272,96510,97427,117941,16950,964,62
Madhya Pradesh,Damoh,23.76624407960196,79.47049303482588,428,1264219,661873,602346,747715,1432,445737,301978,1186420,47966,1681,1096,119,25005,82,1850,187731,23270,303387,66514,197917,217296,150040,95032,64414,41158,5260,1240155,768929,312593,181403,1294,43355,18611,45411,42311,64924,61614,62447,5797,910,59
Madhya Pradesh,Datia,25.90226439560441,78.63916571428574,422,786754,420157,366597,491445,616,303815,187630,747693,28483,683,490,7923,453,10,1019,97696,17555,160453,43401,132176,131372,88949,73398,48978,34853,4262,774064,473097,195131,118186,340,35209,7451,16280,18156,32738,32027,43215,9669,873,62
Madhya Pradesh,Dewas,22.7851110021322,76.46088805970157,437,1563715,805359,758356,925369,3518,550716,374653,1376591,174259,2355,2330,382,6497,72,1229,270457,59521,274995,101014,242508,225380,149522,125772,94403,55383,4991,1463324,943954,388648,230280,833,112895,9614,27019,33382,65024,62333,86599,20771,942,59
Madhya Pradesh,Dhar,22.572681718963157,75.1105620736698,438,2185793,1112725,1073068,1077338,2388,638479,438859,2051219,116202,2261,1607,328,12199,88,1889,349639,75637,412348,103364,262090,244058,164576,134279,99882,66721,6543,2000000,1377326,533243,273050,2174,126246,13730,36576,43219,82711,83514,129512,30551,964,49
Madhya Pradesh,Dindori,22.83738437047757,81.04332966714911,453,704524,351913,352611,378714,554,222759,155955,605435,6736,4238,260,61,687,84006,3101,62372,4576,218021,9774,103002,113875,84065,49277,31104,15179,1674,693831,419531,181841,102522,630,9945,10701,25867,25416,37087,33957,33585,2386,1002,54
Madhya Pradesh,Guna,24.49043927178156,77.2235895968791,458,1241519,649362,592157,653980,2482,400537,253443,1172248,49203,1208,3271,529,13474,52,1534,144248,34184,212765,72320,197902,157141,84560,79924,50724,42147,6451,1196883,793150,285176,162104,1089,47903,7399,25762,25661,44051,49353,75408,13799,912,53
Madhya Pradesh,Gwalior,26.04074441964285,78.12782433035713,421,2032036,1090327,941709,1357210,15779,803114,554096,1835299,141735,4119,24790,4361,18058,217,3457,306859,165061,172720,272172,235648,235924,204871,193082,166719,193947,23148,1807825,1218319,519728,291451,2538,221052,9400,26935,39042,73239,76641,112892,31356,864,67
Madhya Pradesh,Harda,22.227659781121783,77.07022571819435,448,570465,294838,275627,352550,986,203807,148743,527462,38640,683,676,93,1573,55,1283,95066,22174,112714,31845,90059,87733,60757,46556,31939,27126,3469,525370,347774,138882,83417,392,51766,3691,9767,12137,21669,23004,33489,7224,935,62
Madhya Pradesh,Hoshangabad,22.595268801996703,78.02168094841929,449,1241350,648725,592625,810644,2871,469199,341445,1175203,52269,4453,3127,1550,3888,107,753,198076,61415,209650,105746,159703,183156,145076,119682,89589,84769,9279,1135746,730768,318232,191501,849,122069,9942,23157,29245,53582,55128,69820,11688,914,65
Madhya Pradesh,Indore,22.680265752128648,75.9133801324502,439,3276697,1699627,1577070,2309130,48691,1289631,1019499,2728225,415142,18523,25696,11496,71667,720,5228,593576,417170,200371,587947,428413,472233,384611,362209,300076,382658,36326,3084700,1877270,894464,493096,11867,480633,17845,46409,77386,146797,123675,154066,49156,928,70
Madhya Pradesh,Jabalpur,23.18525572327043,79.98328754716981,451,2463289,1277278,1186011,1756468,20443,980307,776161,2159065,203652,23142,13256,4320,33728,21010,5116,452023,192581,272284,352477,267932,352284,313910,268333,222987,235072,24872,2225419,1387369,679185,391903,4832,286802,19774,53407,70777,126486,112003,112904,19678,929,71
Madhya Pradesh,Jhabua,22.419578015397768,74.40921616766468,464,1025048,515023,510025,352081,744,214582,137499,960925,15733,38423,141,65,8871,388,502,125411,16683,211080,24713,98308,79781,40466,38236,28990,20240,1973,1083658,684200,220769,119681,398,24293,3384,13785,18527,32178,37827,80303,21617,990,34
Madhya Pradesh,Katni,23.724416229116937,80.33819665871127,450,1292042,662013,630029,790773,2179,460583,330190,1240650,37232,3158,1167,157,5342,2643,1693,172416,38086,276151,72880,198447,207366,161727,112242,80935,53578,6658,1286327,778414,326582,185857,1189,56180,15764,37252,37518,59446,61467,70214,7365,952,61
Madhya Pradesh,Mandla,22.70348712446353,80.38600543633753,454,1054905,525272,529633,604962,912,348033,256929,849518,16558,12450,436,297,1789,170533,3324,143803,18413,279674,37258,156711,170994,115632,82166,58066,35476,4587,1000576,614794,278553,160510,1048,33217,14377,33344,36738,57935,52517,50642,3634,1008,57
Madhya Pradesh,Mandsaur,24.19278764044944,75.43588667736759,433,1340411,682851,657560,834591,2324,502898,331693,1192588,125548,1120,849,242,19029,77,958,239885,47723,302287,81832,244891,217234,149219,109751,77219,52546,4956,1322818,781000,346861,211815,735,68287,12087,31202,37148,65757,55664,70418,12135,963,62
Madhya Pradesh,Morena,26.37313504531724,77.88447341389724,419,1965970,1068417,897553,1179685,1781,747652,432033,1875495,76159,1092,557,3234,6681,92,2660,131486,45113,319298,95288,288979,285682,228234,170254,115790,71005,8265,1875126,1254302,452484,257704,1480,75574,12289,32412,35342,59993,70960,117005,34308,840,60
Madhya Pradesh,Neemuch,24.70311893333336,75.06608186666664,432,826067,422653,403414,508834,1945,307889,200945,741288,67324,1508,1110,224,14165,115,333,145258,34666,174235,67962,137656,127167,83189,69134,53465,42343,6119,808186,476995,217403,131227,442,46190,8294,21218,23744,40659,33158,40638,7955,954,62
Madhya Pradesh,Panna,24.451325840092657,80.21133001158752,426,1016520,533480,483040,552559,653,332140,220419,974748,35214,418,186,37,4734,218,965,76097,13285,256744,32179,171707,134936,99251,70359,47903,29795,3052,985000,635347,235035,144827,1311,23811,15588,32172,29198,44272,45579,60233,6612,905,54
Madhya Pradesh,Raisen,23.292518206521724,78.16305495923909,446,1331597,700358,631239,820220,1141,479093,341127,1195235,120331,1725,2262,253,10637,190,964,194373,34499,251272,74441,237981,210402,144108,117908,69419,48384,4607,1277686,832939,316319,181524,815,82664,10525,30003,33397,53625,56751,79383,10526,901,62
Madhya Pradesh,Rajgarh,23.785499026425583,76.66431223922116,442,1545814,790212,755602,804245,1611,488797,315448,1433879,106928,1243,460,121,1599,50,1534,231130,30688,331894,69823,239738,174381,103464,96386,72316,51499,4799,1449541,935230,363218,246447,919,54463,16163,49655,46504,71223,64538,83043,10722,956,52
Madhya Pradesh,Ratlam,23.503562290502792,75.14895782122909,434,1455069,738241,716828,825880,3644,485090,340790,1267043,151071,3996,1353,175,29353,123,1955,213825,67830,266716,107151,224715,194131,129392,111461,86507,67192,5868,1441419,876905,363858,213560,746,96263,11435,29551,35326,61055,58343,81285,16121,971,57
Madhya Pradesh,Rewa,24.861184625158856,81.57572465057183,430,2365106,1225100,1140006,1441757,3406,845572,596185,2268838,85414,1964,832,986,655,232,6185,251132,45180,523910,94489,344362,330131,312931,206274,180635,122371,11438,2274308,1460075,540235,362228,2568,126470,34174,78271,66018,99782,100304,140110,21714,931,61
Madhya Pradesh,Sagar,23.800318709677374,78.71940357771273,427,2378458,1256257,1122201,1545719,4546,908607,637112,2198297,103480,5580,4146,991,62992,168,2804,366494,68482,448408,165507,347752,426916,297079,214137,137899,116753,14346,2266686,1470688,569166,335432,3172,127876,25924,64554,66019,102185,103802,129330,17541,893,65
Madhya Pradesh,Satna,24.62777621776502,80.75547048710598,429,2228935,1157495,1071440,1371781,3754,801051,570730,2158623,59471,2228,1163,364,3135,1689,2262,294702,55196,461831,114173,338947,334635,309536,197373,148091,105499,16052,2165642,1365647,535086,326049,2153,142613,25510,61008,55635,90237,96254,128453,21656,926,62
Madhya Pradesh,Sehore,22.9297199679658,77.06780202883085,445,1311332,683743,627589,780362,1566,469208,311154,1163607,137980,1404,640,357,6232,66,1046,212138,30868,270427,59220,193885,179388,136284,120687,77541,50655,6755,1273591,817608,305605,187611,508,80229,7906,23527,25917,48175,52905,78612,14544,918,60
Madhya Pradesh,Seoni,22.33230487804874,79.66053863928111,456,1379131,695879,683252,864194,1182,485341,378853,1145052,79739,1857,360,7288,4982,135315,4538,228695,26893,335045,47542,223650,241327,151636,116124,84398,55984,6427,1338357,809922,363037,205237,935,68267,16619,37988,40885,71513,68455,71679,6135,982,63
Madhya Pradesh,Shahdol,23.44859864559819,81.4596831828442,460,1066063,540021,526042,604194,1733,348761,255433,997073,42426,2372,912,268,1737,19448,1827,113184,24255,233594,57846,161972,154282,128427,80402,60915,46513,5352,1060599,645619,269145,150655,644,43590,16234,40531,37475,48798,46165,53730,5850,974,57
Madhya Pradesh,Shajapur,23.566620317220547,76.33555181268885,436,1512681,780520,732161,894612,1382,543509,351103,1321003,174724,815,631,179,13755,66,1508,232735,32204,312611,73997,271215,239081,141225,111366,75967,48671,3391,1435707,901161,369741,240768,1011,68975,11130,29066,32033,60914,59630,86441,19052,938,59
Madhya Pradesh,Sheopur,25.78014810996563,77.16911116838484,418,687861,361784,326077,328025,273,208201,119824,638702,41396,230,6387,201,379,40,526,74770,11701,150146,26376,90911,70840,43009,37072,24732,17091,1497,678293,449974,155063,82416,408,18710,6713,18350,18090,25892,28651,41950,5102,901,48
Madhya Pradesh,Shivpuri,25.37802451874367,77.74861600810549,423,1726050,919795,806255,900846,1852,573242,327604,1648749,51200,1117,7151,3421,12171,72,2169,148128,35706,367859,66759,261087,214162,125117,84684,58509,44812,6218,1514136,1106084,389652,227989,2325,52090,18170,43110,41733,64387,70994,102584,15384,877,52
Madhya Pradesh,Sidhi,24.17547189952905,82.1053783359498,462,1127033,575912,551121,600785,837,353030,247755,1077545,34419,511,128,92,93,12556,1689,102228,9569,250953,25916,185550,168224,129344,80312,60845,33067,3896,1138710,721531,253685,150959,858,17833,13560,31770,27536,39560,42658,70332,13058,957,53
Madhya Pradesh,Tikamgarh,25.14099852104666,78.89357064846428,424,1445166,760355,684811,747940,1090,459353,288587,1383475,44143,588,251,109,15569,39,992,132725,21489,322772,60220,202448,188694,143231,78053,58245,35034,5340,1370393,898323,343824,201875,1144,30506,12354,33699,30580,59978,61738,84868,15997,901,52
Madhya Pradesh,Ujjain,23.319288862745065,75.80383717647058,435,1986864,1016289,970575,1240990,7501,730817,510173,1718204,233133,4659,3241,945,24622,211,1849,323379,123526,300765,188684,286534,280030,178295,159263,119586,111290,13282,1807559,1156749,508302,320502,1311,165304,13314,33412,42482,82938,78006,106544,27582,955,62
Madhya Pradesh,Umaria,23.59601063063061,80.90879477477475,431,644758,330674,314084,356672,839,210907,145765,620515,15966,667,190,70,220,6028,1102,67975,12713,138100,29966,90791,94011,74854,43418,27216,18144,2784,582000,403030,158140,82984,604,19781,7933,20578,19472,27821,29263,35468,3894,950,55
Madhya Pradesh,Vidisha,23.82838307984792,77.9013507604563,443,1458875,769568,689307,862918,1926,512344,350574,1287391,149548,1313,914,295,18490,70,854,181510,41617,292579,83830,242021,214603,123650,104007,65581,59814,6780,1328767,919239,335690,203005,941,73505,12975,32112,34981,54230,60256,89879,12986,896,59
Maharashtra,Akola,20.746310479041902,77.12122320359276,501,1813906,932334,881572,1411281,6163,758977,652304,1107809,357253,4483,1504,328033,10205,389,4230,314490,107463,308158,196077,231841,328367,275264,291391,205723,112574,15157,1813004,998769,483200,327932,4005,180311,13577,40804,52202,97428,84591,86078,16455,946,78
Maharashtra,Amravati,21.16520991810736,77.67583503184723,503,2888445,1480768,1407677,2251875,9438,1207104,1044771,2055177,421410,7223,2242,383891,11360,3288,3854,512492,175917,508921,272894,326195,468853,463051,525116,346876,203273,16148,2827586,1540590,783549,553265,11041,342031,23825,68468,90409,172071,136507,124902,21264,951,78
Maharashtra,Bhandara,21.211792649727748,80.10950199637024,506,1200334,605520,594814,899860,2932,488709,411151,1009352,26502,2145,831,154458,1017,3555,2474,227025,55948,283843,72575,115150,187870,208902,204435,153749,67061,12452,1185143,626978,333120,232754,7482,168707,11857,27093,38939,79510,61879,50895,5600,982,75
Maharashtra,Bid,18.952353340080982,75.69319706477731,523,2585049,1349106,1235943,1718507,5614,987185,731322,2174672,320395,2097,824,68482,8719,399,9461,402052,82098,563114,135457,309704,436446,280800,316758,206530,129996,11438,2513279,1473882,614615,494436,2116,136943,16817,54460,57981,118905,119250,151010,26650,916,66
Maharashtra,Buldana,20.56680611183355,76.39017880364096,500,2586258,1337560,1248698,1879874,4767,1048892,830982,1845424,354236,3531,1668,364229,12242,522,4406,423036,103898,575405,152787,315408,457067,400342,406379,228266,113783,19619,2541300,1467457,641840,473071,3890,195038,21975,58072,70149,134349,117382,127921,23183,934,73
Maharashtra,Chandrapur,20.095609090909075,79.31556380471388,509,2204307,1123834,1080473,1578615,8239,872565,706050,1780085,92297,10701,5251,286734,3861,23188,2190,418666,172661,451324,233331,243773,316192,337320,351610,241179,126488,15040,2148330,1163802,629890,403719,6896,229471,25793,63808,81791,162114,108425,78830,8851,961,72
Maharashtra,Dhule,21.274018690400517,74.58719071837263,498,2050862,1054031,996831,1293916,6065,723388,570528,1825460,187901,3653,1422,13405,12818,912,5291,315332,126138,382777,146013,200494,323641,208571,290656,182739,114931,14526,1985126,1167569,513908,350747,18638,127610,13980,34096,41877,90252,85597,112622,30276,946,63
Maharashtra,Gondiya,21.225008411214997,80.17522698598128,507,1322507,661554,660953,1004243,2866,542837,461406,1153861,26157,1827,2160,125282,1568,5080,6572,239981,38044,319702,66813,138457,237888,231153,225595,159570,57923,9620,1316755,704214,371908,244111,2274,151792,11264,26599,36760,76317,65466,64380,8645,999,76
Maharashtra,Hingoli,19.59525302245251,77.09239412780653,512,1177345,606294,571051,790743,1221,450551,340192,863199,127552,992,643,176679,5278,103,2899,159114,27700,242456,41913,175736,266649,127246,136075,74544,38698,5932,1156268,692117,281905,201828,1495,73460,5715,18442,22066,48484,49765,66399,16170,942,67
Maharashtra,Jalgaon,20.8828943415638,75.55140421810695,499,4229917,2197365,2032552,2891882,14297,1629223,1262659,3457615,560261,7091,3091,143865,27404,9662,20928,720791,350029,796223,373565,482462,735730,532587,627198,375643,229987,31008,4017665,2352671,1080237,763529,33480,316969,38031,86964,110671,216606,185410,207987,45988,925,68
Maharashtra,Jalna,19.984612534818933,75.98473607242339,514,1959046,1011473,947573,1195523,3791,699428,496095,1504641,274221,12542,1629,152540,9619,336,3518,288895,60219,404746,98084,271061,422207,218189,225331,120715,64060,9724,1877267,1150104,454836,341479,12627,141841,12310,35091,40200,82627,82839,109422,25627,937,61
Maharashtra,Kolhapur,16.44881301587301,74.12897150793648,530,3876001,1980658,1895343,2825845,22269,1559760,1266085,3379906,286558,15573,1570,29766,154882,1274,6472,770005,340318,796496,382818,321457,622362,487227,698604,395234,335413,40828,3679125,1972486,1084858,801590,17067,612194,31720,74454,117330,228697,155987,166043,47252,957,73
Maharashtra,Latur,18.348687268993856,76.75812607802874,524,2454196,1273140,1181056,1650672,6217,932432,718240,2006984,367664,2387,935,66535,6387,310,2994,381722,96018,428616,157016,268627,423711,296910,380344,224998,153256,18106,2362165,1406364,584243,453229,10360,178478,11663,37583,47525,103991,106069,134259,33059,928,67
Maharashtra,Nagpur,21.196556862745105,79.02166176470584,505,4653570,2384975,2268595,3673808,57964,1959220,1714588,3492202,390974,34667,20469,668050,24528,12181,10499,917626,599780,430844,877522,325084,666693,812381,790443,542228,493236,73475,4305087,2460820,1361821,818467,12462,753520,36059,91544,149225,286874,211781,182251,38074,951,79
Maharashtra,Nanded,19.209316983017,77.6829048951049,511,3361292,1730075,1631217,2189425,7548,1255222,934203,2501741,471951,3902,13540,354189,5049,1273,9647,488748,116284,591119,230563,416869,691348,368723,416761,255650,156225,21729,3211931,2008314,809135,535827,8016,217163,15073,55602,73125,145062,146906,179714,40821,943,65
Maharashtra,Nandurbar,21.523175625248147,74.32638757443429,497,1648295,833170,815125,906509,2579,512099,394410,1521618,96182,8467,685,4969,6191,2907,7276,186202,54335,333440,71572,166664,218718,121404,160961,113019,58461,9248,1639088,1011352,390419,241534,4990,91574,9605,32683,35991,64261,62790,93252,21041,978,55
